classe,num_processo,reu_preso_recorreu,seq_jurisdicionado,mp,pena_fixada_decisao_recorrida_anos,pena_fixada_decisao_recorrida_meses,sucesso_recurso,obs
REsp,1464992,0,759,false,0,0,,"Réu absolvido, MP recorrendo"
AREsp,1508448,0,1359,false,3,6,,
AREsp,735047,0,2663,true,10,10,,
AREsp,591446,0,1532,false,0,0,,réu absolvido na segunda instância
AREsp,1460078,1,1626,false,0,0,,HC denegado na 2a instância
AREsp,770633,1,338,false,5,0,,regime fechado
AREsp,492226,1,1350,false,9,0,,
AREsp,804300,0,2584,false,5,10,,
AREsp,1511738,,338,false,0,0,,agravo de execução
REsp,501455,0,571,false,1,8,,
AREsp,623106,1,2178,false,1,8,,
AREsp,815171,1,428,false,5,10,,regime inicial fechado
AREsp,523422,1,1965,false,2,9,,regime inicial fechado
AREsp,523422,0,152,true,2,0,,
AREsp,551968,0,338,false,3,0,,regime inicial semiaberto
AREsp,730868,1,266,false,5,10,,regime fechado
AREsp,466119,,1059,false,0,0,,processo não encontrado
REsp,471447,0,1208,false,5,0,,regime inicial fechado
AREsp,1502311,1,25,false,1,6,,
AREsp,675739,0,1707,false,1,8,,regime inicial fechado
AREsp,1505678,,1631,false,0,0,,agravo de execução
ARE,656750,,1264,true,0,0,,
ARE,651680,,423,false,0,0,,
AI,851441,0,2013,true,0,0,,réu absolvido
ARE,653108,0,1264,true,1,8,,
AI,856083,,1489,false,0,0,,
ARE,703656,,702,false,0,0,,processo baixado
ARE,717709,0,1990,false,1,0,,
RE,650868,,1196,false,0,0,,"crime ambiental, sem pena"
AI,794971,0,2527,false,4,6,,
AI,853613,0,619,false,3,10,,
RE,637803,,763,false,0,0,,
AI,803857,,2294,false,0,0,,obs: queixa-crime
REsp,1447472,0,1138,false,2,0,,
AREsp,551148,,1138,false,0,0,,Decisão não disponível
AREsp,680603,0,1826,false,8,6,,
AREsp,559426,,1138,false,0,0,,Agravo em execução
AREsp,734060,0,518,false,4,0,,
AREsp,809472,0,1638,false,16,0,,
REsp,1448958,0,1859,false,0,0,,Absolvido. Recurso MP. Sem info de data
AREsp,823201,0,1305,false,4,11,,
AREsp,798433,0,1781,false,8,0,,
AREsp,729525,1,439,false,10,2,,
AREsp,618746,0,2387,false,0,8,,Sem data
AREsp,720842,1,2325,false,12,6,,
AREsp,573259,1,432,false,8,8,,
AREsp,721898,0,2154,false,27,0,,
AREsp,732066,0,1244,false,0,0,,Absolvidos
AREsp,616508,1,2561,false,6,10,,
AREsp,472856,0,136,false,6,2,,
AREsp,717941,0,338,false,1,8,,
AREsp,555073,0,338,false,5,4,,
REsp,1538024,0,338,false,1,8,,
AREsp,618605,1,338,false,2,4,,
AREsp,586729,0,292,false,2,4,,
AREsp,558429,0,1823,false,0,0,,Prescrição
REsp,1441987,1,338,false,6,2,,
AREsp,464617,1,741,false,2,6,,
AREsp,711029,0,2613,false,3,0,,
AREsp,712177,0,849,false,2,4,,
AREsp,745799,0,2350,false,6,0,,Regime Fechado
AREsp,620842,0,338,false,2,1,,Regime Fechado
REsp,1525580,,338,false,0,0,,Segredo de Justiça
AREsp,669430,,645,false,0,0,,Recurso em Sentido Estrito. Prisão cautelar.
AREsp,558749,0,1630,false,0,0,,Prescrito
REsp,1554510,0,770,false,2,0,,
AREsp,759264,1,291,false,8,0,,
REsp,1435713,0,344,false,6,9,,
REsp,1532583,,989,false,0,0,,
REsp,1557263,,369,false,0,0,,Acórdão não disponível.
REsp,1480585,,2011,false,0,0,,Segredo de Justiça
AREsp,782074,,1808,false,0,0,,Recurso em sentido estrito. Citação.
AREsp,510366,0,2601,false,3,4,,
AREsp,687422,0,1286,false,5,4,,
AREsp,687422,0,1527,true,5,4,,
REsp,1492554,0,588,false,3,6,,
REsp,1481502,0,2254,false,2,0,,
AREsp,746620,0,337,false,3,6,,
AREsp,804925,0,2455,false,12,8,,
AREsp,501307,1,1076,false,5,4,,
AREsp,682479,0,287,false,16,0,,
AREsp,518942,0,1631,false,0,11,,
AREsp,616001,,1549,false,0,0,,Recurso em sentido estrito.
AREsp,706354,1,428,false,5,10,,Regime Fechado
AREsp,489001,1,1950,false,7,0,,Regime Fechado
REsp,1459944,,1953,false,0,0,,Recurso em sentido estrito.
AREsp,756828,,1260,false,0,0,,Recurso em sentido estrito
AREsp,470247,,428,false,0,0,,Recurso em sentido estrito.
AREsp,565171,,604,false,0,0,,Direito Civil
AI,826865,0,2089,false,2,8,,
ARE,694654,,2174,true,0,0,,Processo não esta em tramitação
AI,831881,,793,false,0,0,,Sem decisão
AI,844759,,596,false,0,0,,Sem info
RE,642287,,161,false,0,0,,Processo não encontrado
ARE,637980,1,2383,false,0,0,,
ARE,637980,0,1036,false,0,0,,
AI,853993,1,75,false,5,0,,
