Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","France","FRA","2000","","","6.42067090678677","129.711273007109","1.77","26.3639451682537","","","58512808","","12.0546"
1990,"YR1990","French Polynesia","PYF","","","","2.19973787019534","","3.401","15.0273224043716","","","198375","","63.0298"
1990,"YR1990","Gabon","GAB","200","500","","4.72521770362062","63.6223725121395","5.421","85.380525478325","","","952212","","188.4658"
1990,"YR1990","Gambia, The","GMB","100","100","","0.191987853509132","44.7413096414931","6.107","43.6758893280632","","","916808","","163.5808"
1990,"YR1990","Georgia","GEO","100","100","","","322.8953795706","2.18","39.6028205497194","","","4802000","","62.8746"
1990,"YR1990","Germany","DEU","1300","","","","141.31603111668","1.45","32.3661673302208","","","79433029","","16.33"
1990,"YR1990","Ghana","GHA","3100","13000","","0.260957010608234","188.424215749609","5.602","37.9142128856465","","65.5","14628260","","109.512"
1990,"YR1990","Gibraltar","GIB","","","","4.90375120010972","","","0","","","29164","",""
1990,"YR1990","Greece","GRC","200","","","7.28452164170849","101.646707143727","1.39","25.5934833204034","","","10196792","","22.7612"
1990,"YR1990","Greenland","GRL","","","","9.95893884892086","","2.444","0.0006438396254024","","","55600","",""
1990,"YR1990","Grenada","GRD","","","","1.10448365755118","60.9179840013805","3.842","49.9705882352941","","","96283","","89.7506"
1990,"YR1990","Guam","GUM","","","","","","3.013","46.2962962962963","","","130482","","80.2224"
1990,"YR1990","Guatemala","GTM","100","100","","0.549031915907629","93.3518360893551","5.437","44.307577454274","","58.6","9263813","","129.1102"
1990,"YR1990","Guinea","GIN","770","2100","","0.166320537306653","","6.598","29.5621032069022","","80.4","6041094","","180.7146"
1990,"YR1990","Guinea-Bissau","GNB","100","200","","0.170258228948512","46.8457576622393","6.627","78.8051209103841","","","1012280","","135.8034"
1990,"YR1990","Guyana","GUY","100","100","","1.52440371366417","180.797679212525","3.069","84.6329692659385","","","743309","","84.6904"
1990,"YR1990","Haiti","HTI","1100","3700","","0.139971058062473","","5.43","4.20899854862119","","93.4","7099732","","73.2532"
1990,"YR1990","Heavily indebted poor countries (HIPC)","HPC","","","","0.169466570724482","","6.59801539684114","31.8745072155914","58.8803","74.6171442428907","355762200","","140.719642189237"
1990,"YR1990","High income","HIC","","","","11.1456758328221","155.800086104218","1.88530949633555","27.3006933475724","","","1037334467","","29.7118186477204"
1990,"YR1990","Honduras","HND","500","2000","","0.523188172407558","151.404509667397","5.139","72.714272946644","","","4955328","","129.888"
1990,"YR1990","Hong Kong SAR, China","HKG","","","","4.79162380576738","56.002989961047","1.272","","","","5704500","","6.7246"
1990,"YR1990","Hungary","HUN","100","","","6.71365062307764","","1.87","20.0400578613553","","","10373988","","40.2462"
1990,"YR1990","IBRD only","IBD","","","","2.59481144120207","218.053109617024","3.09196353105674","34.4986329115732","85.04101","43.704499730581","3471574806","","58.5597814912347"
1990,"YR1990","Iceland","ISL","","","","7.84266519115004","","2.3","0.160598503740648","","","254826","","27.6654"
1990,"YR1990","IDA & IBRD total","IBT","","","","2.18462734259209","218.535507912841","3.59069675087505","32.8283637874227","80.54019","47.0312485460315","4313726002","","71.9862272984602"
1990,"YR1990","IDA blend","IDB","","","","0.935139054176255","223.827540696091","5.91819664414135","24.3123891584548","71.18731","59.663237039645","282899816","","112.358107990196"
1990,"YR1990","IDA only","IDX","","","","0.257789590411893","224.917312084285","5.86557968998124","29.6167203428787","58.88025","","559251380","","130.999466541082"
1990,"YR1990","IDA total","IDA","","","","0.490587432158436","224.276679691359","5.88303436585173","28.4199575217295","63.55608","69.9660339298359","842151196","","124.868852163569"
1990,"YR1990","India","IND","3500","6800","","0.711562799537377","200.210446188615","4.045","21.5051846669739","","54.9","870133480","","98.7892"
1990,"YR1990","Indonesia","IDN","100","100","","0.824341653340586","117.548221152125","3.122","65.4377142478624","96.2075576782227","50.8","181436821","","67.038"
